lineage,label
BF.7.11,Omicron
BF.7.12,Omicron
BF.7.13.1,Omicron
BF.7.13.2,Omicron
BF.7.14,Omicron
BF.7.14.1,Omicron
BF.7.14.4,Omicron
BF.7.14.5,Omicron
BF.7.14.6,Omicron
BF.7.15,Omicron
BF.7.17,Omicron
BF.7.19.1,Omicron
BF.7.2,Omicron
BF.7.21,Omicron
BF.7.22,Omicron
BF.7.23,Omicron
BF.7.24,Omicron
BF.7.26,Omicron
BF.7.27,Omicron
BF.7.3,Omicron
BF.7.4,Omicron
BF.7.4.1,Omicron
BF.7.4.2,Omicron
BF.7.5,Omicron
BF.7.5.1,Omicron
BF.7.6,Omicron
BF.7.7,Omicron
BF.7.9,Omicron
BF.8,Omicron
BF.9,Omicron
BG.1,Omicron
BG.2,Omicron
BG.3,Omicron
BG.4,Omicron
BG.5,Omicron
BH.1,Omicron
BK.1,Omicron
BL.1.3,Omicron
BL.1.4,Omicron
BL.3,Omicron
BL.4,Omicron
BL.5,Omicron
BL.6,Omicron
BM.1.1.2,Omicron
BM.1.1.3,Omicron
BM.1.1.4,Omicron
BM.1.1.5,Omicron
BM.2.1,Omicron
BM.4.1.1,Omicron
BN.1.1.1,Omicron
BN.1.10,Omicron
BN.1.2,Omicron
BN.1.2.1,Omicron
BN.1.2.2,Omicron
BN.1.2.3,Omicron
BN.1.2.4,Omicron
BN.1.2.5,Omicron
BN.1.2.6,Omicron
BN.1.2.8,Omicron
BN.1.3,Omicron
BN.1.3.1,Omicron
BN.1.3.12,Omicron
BN.1.3.2,Omicron
BN.1.3.3,Omicron
BN.1.3.5,Omicron
BN.1.3.6,Omicron
BN.1.3.7,Omicron
BN.1.3.8,Omicron
BN.1.3.9,Omicron
BN.1.4,Omicron
BN.1.4.1,Omicron
BN.1.4.2,Omicron
BN.1.4.3,Omicron
BN.1.4.4,Omicron
BN.1.4.5,Omicron
BN.1.5,Omicron
BN.1.5.2,Omicron
BN.1.6,Omicron
BN.1.7,Omicron
BN.1.8,Omicron
BN.1.9,Omicron
BN.2,Omicron
BN.2.1,Omicron
BN.3,Omicron
BN.3.1,Omicron
BN.5,Omicron
BN.6,Omicron
BQ.1.1.1,Omicron
BQ.1.1.10,Omicron
BQ.1.1.13,Omicron
BQ.1.1.14,Omicron
BQ.1.1.15,Omicron
BQ.1.1.16,Omicron
BQ.1.1.17,Omicron
BQ.1.1.18,Omicron
BQ.1.1.19,Omicron
BQ.1.1.2,Omicron
BQ.1.1.20,Omicron
BQ.1.1.21,Omicron
BQ.1.1.22,Omicron
BQ.1.1.23,Omicron
BQ.1.1.24,Omicron
BQ.1.1.25,Omicron
BQ.1.1.26,Omicron
BQ.1.1.27,Omicron
BQ.1.1.28,Omicron
BQ.1.1.29,Omicron
BQ.1.1.3,Omicron
BQ.1.1.30,Omicron
BQ.1.1.32,Omicron
BQ.1.1.34,Omicron
BQ.1.1.35,Omicron
BQ.1.1.37,Omicron
BQ.1.1.38,Omicron
BQ.1.1.39,Omicron
BQ.1.1.4,Omicron
BQ.1.1.40,Omicron
BQ.1.1.41,Omicron
BQ.1.1.42,Omicron
BQ.1.1.45,Omicron
BQ.1.1.48,Omicron
BQ.1.1.49,Omicron
BQ.1.1.5,Omicron
BQ.1.1.51,Omicron
BQ.1.1.52,Omicron
BQ.1.1.54,Omicron
BQ.1.1.55,Omicron
BQ.1.1.57,Omicron
BQ.1.1.58,Omicron
BQ.1.1.59,Omicron
BQ.1.1.6,Omicron
BQ.1.1.60,Omicron
BQ.1.1.61,Omicron
BQ.1.1.62,Omicron
BQ.1.1.63,Omicron
BQ.1.1.64,Omicron
BQ.1.1.65,Omicron
BQ.1.1.68,Omicron
BQ.1.1.69,Omicron
BQ.1.1.7,Omicron
BQ.1.1.70,Omicron
BQ.1.1.71,Omicron
BQ.1.1.72,Omicron
BQ.1.1.76,Omicron
BQ.1.1.77,Omicron
BQ.1.1.79,Omicron
BQ.1.1.8,Omicron
BQ.1.10,Omicron
BQ.1.10.1,Omicron
BQ.1.10.2,Omicron
BQ.1.10.3,Omicron
BQ.1.11.1,Omicron
BQ.1.12,Omicron
BQ.1.13,Omicron
BQ.1.13.1,Omicron
BQ.1.14,Omicron
BQ.1.15,Omicron
BQ.1.16,Omicron
BQ.1.17,Omicron
BQ.1.18,Omicron
BQ.1.19,Omicron
BQ.1.2,Omicron
BQ.1.2.1,Omicron
BQ.1.2.2,Omicron
BQ.1.2.3,Omicron
BQ.1.20,Omicron
BQ.1.21,Omicron
BQ.1.23,Omicron
BQ.1.25.1,Omicron
BQ.1.26,Omicron
BQ.1.26.1,Omicron
BQ.1.26.2,Omicron
BQ.1.27,Omicron
BQ.1.28,Omicron
BQ.1.29,Omicron
BQ.1.3,Omicron
BQ.1.3.1,Omicron
BQ.1.3.2,Omicron
BQ.1.32,Omicron
BQ.1.33,Omicron
BQ.1.4,Omicron
BQ.1.5,Omicron
BQ.1.6,Omicron
BQ.1.7,Omicron
BQ.1.8,Omicron
BQ.1.8.2,Omicron
BQ.1.9,Omicron
BR.1,Omicron
BR.1.2,Omicron
BR.2.1,Omicron
BR.3,Omicron
BR.4,Omicron
BR.5,Omicron
BS.1,Omicron
BT.1,Omicron
BT.2,Omicron
BU.1,Omicron
BU.2,Omicron
BU.3,Omicron
BV.1,Omicron
BV.2,Omicron
BW.1,Omicron
BW.1.1,Omicron
BW.1.1.1,Omicron
BW.1.1.2,Omicron
BY.1.1.1,Omicron
BY.1.2,Omicron
BZ.1,Omicron
BZ.2,Omicron
C.37,Lambda
C.37.1,Lambda
CA.1,Omicron
CA.2,Omicron
CA.3,Omicron
CA.3.1,Omicron
CA.5,Omicron
CA.6,Omicron
CA.7,Omicron
CB.1,Omicron
CC.1,Omicron
CD.1,Omicron
CD.2,Omicron
CE.1,Omicron
CF.1,Omicron
CG.1,Omicron
CH.1,Omicron
CH.1.1.1,Omicron
CH.1.1.10,Omicron
CH.1.1.11,Omicron
CH.1.1.13,Omicron
CH.1.1.14,Omicron
CH.1.1.15,Omicron
CH.1.1.16,Omicron
CH.1.1.17,Omicron
CH.1.1.18,Omicron
CH.1.1.19,Omicron
CH.1.1.2,Omicron
CH.1.1.20,Omicron
CH.1.1.21,Omicron
CH.1.1.22,Omicron
CH.1.1.23,Omicron
CH.1.1.24,Omicron
CH.1.1.25,Omicron
CH.1.1.26,Omicron
CH.1.1.27,Omicron
CH.1.1.28,Omicron
CH.1.1.3,Omicron
CH.1.1.30,Omicron
CH.1.1.32,Omicron
CH.1.1.4,Omicron
CH.1.1.5,Omicron
CH.1.1.6,Omicron
CH.1.1.7,Omicron
CH.1.1.8,Omicron
CH.1.1.9,Omicron
CJ.1.2,Omicron
CJ.1.3,Omicron
CK.1.2,Omicron
CK.1.3,Omicron
CK.1.4,Omicron
CK.1.5,Omicron
CK.2.1,Omicron
CK.2.1.1,Omicron
CK.3,Omicron
CL.1,Omicron
CL.1.1,Omicron
CL.1.2,Omicron
CL.1.3,Omicron
CM.1,Omicron
CM.10,Omicron
CM.12,Omicron
CM.2,Omicron
CM.3,Omicron
CM.4,Omicron
CM.4.1,Omicron
CM.5,Omicron
CM.5.1,Omicron
CM.5.2,Omicron
CM.6,Omicron
CM.6.1,Omicron
CM.8.1,Omicron
CM.8.1.2,Omicron
CM.8.1.3,Omicron
CM.8.1.4,Omicron
CM.9,Omicron
CN.1,Omicron
CN.2,Omicron
CP.1,Omicron
CP.1.1,Omicron
CP.1.2,Omicron
CP.1.3,Omicron
CP.2,Omicron
CP.3,Omicron
CP.4,Omicron
CP.5,Omicron
CP.6,Omicron
CP.8,Omicron
CQ.1.1,Omicron
CQ.2,Omicron
CR.1.1,Omicron
CR.1.3,Omicron
CV.1,Omicron
CV.2,Omicron
CZ.2,Omicron
DA.1,Omicron
DB.1,Omicron
DB.2,Omicron
DC.1,Omicron
DE.1,Omicron
DF.1,Omicron
DF.1.1,Omicron
DG.1,Omicron
DH.1,Omicron
DJ.1,Omicron
DJ.1.1,Omicron
DJ.1.1.1,Omicron
DK.1,Omicron
DL.1,Omicron
DM.1,Omicron
DN.1.1,Omicron
DN.1.1.1,Omicron
DN.1.1.2,Omicron
DN.1.1.3,Omicron
DN.1.1.4,Omicron
DN.2,Omicron
DN.3,Omicron
DN.3.1,Omicron
DP.1,Omicron
DQ.1,Omicron
DR.1,Omicron
DR.2,Omicron
DS.1,Omicron
DS.2,Omicron
DS.3,Omicron
DT.1,Omicron
DT.2,Omicron
DT.3,Omicron
DU.1,Omicron
DV.1,Omicron
DV.1.1,Omicron
DV.2,Omicron
DV.3,Omicron
DV.3.1,Omicron
DV.4,Omicron
DV.6,Omicron
DV.6.1,Omicron
DV.6.2,Omicron
DV.7,Omicron
DV.7.1.1,Omicron
DV.7.1.2,Omicron
DV.7.1.3,Omicron
DV.7.1.4,Omicron
DV.7.1.5,Omicron
DV.7.2,Omicron
DV.8,Omicron
DY.1,Omicron
DY.2,Omicron
DY.3,Omicron
DY.4,Omicron
EA.1,Omicron
EA.2,Omicron
EB.1,Omicron
EC.1.1,Omicron
ED.1,Omicron
ED.2,Omicron
ED.3,Omicron
EE.1,Omicron
EE.2,Omicron
EE.3,Omicron
EE.4,Omicron
EE.5,Omicron
EF.1,Omicron
EF.1.1,Omicron
EF.1.1.1,Omicron
EF.1.2,Omicron
EF.2,Omicron
EF.3,Omicron
EG.1,Omicron
EG.1.2,Omicron
EG.1.3,Omicron
EG.1.4,Omicron
EG.1.5,Omicron
EG.1.6,Omicron
EG.1.7,Omicron
EG.1.8,Omicron
EG.10,Omicron
EG.10.1,Omicron
EG.10.1.1,Omicron
EG.11,Omicron
EG.12,Omicron
EG.13,Omicron
EG.14,Omicron
EG.3,Omicron
EG.4,Omicron
EG.4.1,Omicron
EG.4.3,Omicron
EG.4.4,Omicron
EG.4.5,Omicron
EG.5.1.1,Omicron
EG.5.1.10,Omicron
EG.5.1.12,Omicron
EG.5.1.13,Omicron
EG.5.1.14,Omicron
EG.5.1.15,Omicron
EG.5.1.16,Omicron
EG.5.1.18,Omicron
EG.5.1.19,Omicron
EG.5.1.2,Omicron
EG.5.1.3,Omicron
EG.5.1.4,Omicron
EG.5.1.5,Omicron
EG.5.1.6,Omicron
EG.5.1.7,Omicron
EG.5.1.8,Omicron
EG.5.1.9,Omicron
EG.5.2,Omicron
EG.5.2.1,Omicron
EG.5.2.2,Omicron
EG.5.2.3,Omicron
EG.6.1,Omicron
EG.6.1.1,Omicron
EG.6.1.2,Omicron
EG.7,Omicron
EG.8,Omicron
EG.9.1,Omicron
EH.1,Omicron
EJ.1,Omicron
EJ.2,Omicron
EK.2,Omicron
EK.2.1,Omicron
EK.3,Omicron
EK.4,Omicron
EL.1,Omicron
EM.1,Omicron
EN.1,Omicron
EQ.1,Omicron
ER.1,Omicron
ER.1.1,Omicron
ES.1,Omicron
ET.1,Omicron
EU.1,Omicron
EU.1.1,Omicron
EU.1.1.1,Omicron
EU.1.1.2,Omicron
EU.1.1.3,Omicron
EV.1,Omicron
EW.1,Omicron
EW.2,Omicron
EY.1,Omicron
EZ.1,Omicron
FA.1,Omicron
FA.2,Omicron
FB.2,Omicron
FD.1.1,Omicron
FD.2,Omicron
FD.3,Omicron
FD.4,Omicron
FD.4.1,Omicron
FD.5,Omicron
FD.5.1,Omicron
FE.1,Omicron
FE.1.1,Omicron
